8571294426806947;66;78.0;3;[1, 2, 7]
8571294444963684;67;79.0;4;[3, 5, 10, 11]
8571294449436045;58;77.0;2;[4, 13]
8571294469455545;65;77.0;2;[0, 12]
8571294475567708;64;78.0;3;[0, 4, 12]
8571294497949724;87;77.0;2;[9, 13]
8571294504246998;61;77.0;2;[4, 12]
8571294520553082;74;78.0;3;[4, 5, 11]
8571294546696375;90;77.0;2;[9, 13]
8571294553495092;83;78.0;3;[2, 3, 12]
8571294563464372;84;79.0;4;[5, 7, 13, 14]
8571294573617193;77;78.0;3;[4, 8, 11]
8571294608596297;70;77.0;2;[0, 6]
8571294622881497;78;77.0;2;[3, 12]
8571294645313194;82;77.0;2;[1, 2]
8571294650970513;80;79.0;4;[4, 5, 6, 9]
8571294670615961;79;79.0;4;[0, 4, 7, 14]
8571294692279972;73;79.0;4;[1, 8, 10, 12]
8571294699175970;85;79.0;4;[7, 11, 12, 13]
8571294711501846;98;78.0;3;[1, 3, 12]
8571294715097621;76;78.0;3;[2, 9, 13]
8571294719173800;99;77.0;2;[2, 6]
8571294719593352;102;78.0;3;[0, 3, 11]
8571294738940468;105;79.0;4;[3, 5, 6, 13]
8571294748440384;89;77.0;2;[2, 13]
8571294781929818;97;79.0;4;[1, 2, 8, 12]
8571294803069316;96;78.0;3;[3, 7, 11]
8571294807359606;131;77.0;2;[2, 10]
8571294857750368;95;79.0;4;[7, 12, 13, 14]
8571294873480888;94;79.0;4;[1, 5, 9, 14]
8571294877636857;113;78.0;3;[0, 10, 13]
8571294879640141;114;77.0;2;[5, 14]
8571294902712112;120;79.0;4;[3, 5, 7, 8]
8571294926511578;117;79.0;4;[9, 11, 12, 14]
8571294937996519;107;77.0;2;[9, 11]
8571294950758078;88;79.0;4;[1, 2, 5, 8]
8571294957530685;100;79.0;4;[2, 4, 12, 14]
8571294964705755;108;79.0;4;[3, 6, 13, 14]
8571294973213794;91;79.0;4;[0, 8, 11, 13]
8571295005975063;111;79.0;4;[3, 4, 8, 14]
8571295009323177;146;78.0;3;[1, 2, 12]
8571295052692950;110;79.0;4;[7, 10, 11, 13]
8571295068200518;128;79.0;4;[4, 5, 6, 10]
8571295077522053;109;78.0;3;[2, 3, 11]
8571295144351750;132;79.0;4;[6, 10, 13, 14]
8571295145719429;122;77.0;2;[2, 7]
8571295162184055;161;79.0;4;[1, 5, 6, 10]
8571295172673408;119;78.0;3;[4, 10, 11]
8571295183292702;103;78.0;3;[1, 11, 13]
8571295203027290;126;78.0;3;[3, 5, 10]
8571295220725834;106;77.0;2;[2, 4]
8571295253363742;125;77.0;2;[2, 7]
8571295259164352;144;78.0;3;[4, 11, 14]
8571295260946595;143;78.0;3;[3, 6, 8]
8571295273740194;150;77.0;2;[3, 13]
8571295291620269;124;79.0;4;[3, 4, 5, 7]
8571295301551788;142;79.0;4;[2, 6, 9, 10]
8571295301980041;138;78.0;3;[5, 6, 10]
8571295308593348;137;77.0;2;[0, 5]
8571295350598851;147;77.0;2;[8, 12]
8571295360109597;176;79.0;4;[2, 3, 6, 7]
8571295399129610;130;79.0;4;[1, 5, 7, 14]
8571295424736219;140;79.0;4;[1, 8, 9, 14]
8571295428525945;134;78.0;3;[0, 4, 6]
8571295432880236;158;79.0;4;[1, 5, 6, 13]
8571295439461822;165;78.0;3;[2, 7, 8]
8571295449218020;159;78.0;3;[5, 7, 12]
8571295483290948;139;79.0;4;[4, 10, 12, 13]
8571295488454124;136;77.0;2;[6, 8]
8571295490588889;153;77.0;2;[3, 6]
8571295516654661;191;78.0;3;[4, 5, 9]
8571295530377947;162;78.0;3;[2, 3, 6]
8571295553567749;149;79.0;4;[2, 7, 9, 12]
8571295599487780;180;79.0;4;[1, 3, 4, 6]
8571295599759982;173;78.0;3;[0, 4, 5]
8571295614761216;174;78.0;3;[7, 12, 14]
8571295629131067;167;79.0;4;[3, 8, 12, 14]
8571295632170648;155;78.0;3;[1, 4, 13]
8571295636172126;156;79.0;4;[0, 4, 5, 8]
8571295644059111;145;79.0;4;[1, 3, 6, 11]
8571295645880794;133;79.0;4;[1, 4, 11, 12]
8571295646756270;172;79.0;4;[3, 6, 9, 12]
8571295656666099;168;78.0;3;[1, 2, 3]
8571295695350939;154;77.0;2;[0, 13]
8571295697020451;195;79.0;4;[7, 8, 10, 11]
8571295702254688;151;79.0;4;[1, 6, 12, 13]
8571295720977969;206;77.0;2;[0, 12]
8571295767082050;188;77.0;2;[1, 12]
8571295789126295;192;77.0;2;[2, 7]
8571295792518318;189;79.0;4;[3, 8, 10, 14]
8571295803856968;164;78.0;3;[1, 12, 13]
8571295814715533;171;78.0;3;[5, 6, 14]
8571295815148546;182;78.0;3;[4, 8, 11]
8571295823207743;183;79.0;4;[2, 8, 11, 14]
8571295836826948;187;77.0;2;[5, 14]
8571295874412701;221;77.0;2;[8, 12]
8571295893402613;210;77.0;2;[7, 13]
8571295898578379;148;79.0;4;[7, 9, 10, 12]
8571295917700113;203;79.0;4;[2, 5, 6, 11]
8571295926205792;166;78.0;3;[10, 12, 13]
8571295945222355;207;77.0;2;[2, 6]
8571295988966961;204;79.0;4;[6, 8, 9, 12]
8571296001682530;202;77.0;2;[0, 5]
8571296004448249;186;79.0;4;[0, 2, 3, 8]
8571296007165818;198;77.0;2;[2, 11]
8571296013503082;197;78.0;3;[0, 5, 12]
8571296022583726;175;77.0;2;[8, 14]
8571296027153737;179;79.0;4;[1, 6, 7, 12]
8571296039907497;236;79.0;4;[5, 7, 9, 13]
8571296057955433;225;79.0;4;[4, 5, 8, 9]
8571296086011719;184;79.0;4;[2, 6, 7, 12]
8571296106324511;218;79.0;4;[1, 2, 3, 10]
8571296145047281;217;78.0;3;[2, 3, 9]
8571296173724692;181;79.0;4;[3, 4, 5, 8]
8571296186380480;163;77.0;2;[1, 14]
8571296187746800;201;79.0;4;[2, 3, 5, 8]
8571296190179167;219;78.0;3;[8, 10, 13]
8571296194398116;212;79.0;4;[2, 5, 8, 11]
8571296203121807;237;78.0;3;[1, 3, 5]
8571296208271433;213;77.0;2;[2, 7]
8571296214838799;200;78.0;3;[2, 3, 9]
8571296237827999;194;78.0;3;[2, 6, 10]
8571296244987060;251;79.0;4;[4, 6, 7, 10]
